secid,date,low,high,open,close
108105,20120613,1310.51,1327.28,1324.02,1314.88
108105,20120614,1314.14,1333.68,1314.88,1329.1
108105,20120615,1329.19,1343.32,1329.19,1342.84
108105,20120618,1334.46,1348.22,1342.42,1344.78
108105,20120619,1344.83,1363.46,1344.83,1357.98
108105,20120620,1346.45,1361.57,1358.04,1355.69
108105,20120621,1324.41,1358.27,1355.43,1325.51
108105,20120622,1325.92,1337.82,1325.92,1335.02
108105,20120625,1309.27,1334.9,1334.9,1313.72
108105,20120626,1310.3,1324.24,1314.09,1319.99
108105,20120627,1320.71,1334.4,1320.71,1331.85
108105,20120628,1313.29,1331.52,1331.52,1329.04
108105,20120629,1330.12,1362.17,1330.12,1362.16
108105,20120702,1355.7,1366.35,1362.33,1365.51
108105,20120703,1363.53,1374.81,1365.75,1374.02
108105,20120705,1363.02,1373.85,1373.72,1367.58
108105,20120706,1348.03,1367.09,1367.09,1354.68
108105,20120709,1346.65,1354.87,1354.66,1352.46
108105,20120710,1336.27,1359.05,1352.96,1341.47
108105,20120711,1333.25,1345,1341.4,1341.45
108105,20120712,1325.41,1341.29,1341.29,1334.76
108105,20120713,1334.81,1357.7,1334.81,1356.78
108105,20120716,1348.51,1357.26,1356.5,1353.64
108105,20120717,1345.07,1365.36,1353.68,1363.67
108105,20120718,1358.96,1375.26,1363.58,1372.78
108105,20120719,1371.21,1380.39,1373.01,1376.51
108105,20120720,1362.19,1376.51,1376.51,1362.66
108105,20120723,1337.56,1362.34,1362.34,1350.52
108105,20120724,1329.24,1351.53,1350.52,1338.31
108105,20120725,1331.5,1343.98,1338.35,1337.89
108105,20120726,1338.17,1363.13,1338.17,1360.02
108105,20120727,1360.05,1389.19,1360.05,1385.97
108105,20120730,1381.37,1391.74,1385.94,1385.3
108105,20120731,1379.17,1387.16,1385.27,1379.32
108105,20120801,1373.35,1385.03,1379.32,1375.32
108105,20120802,1354.65,1375.13,1375.13,1365
108105,20120803,1365.45,1394.16,1365.45,1390.99
108105,20120806,1391.04,1399.63,1391.04,1394.23
108105,20120807,1394.46,1407.14,1394.46,1401.35
108105,20120808,1396.13,1404.14,1401.23,1402.22
108105,20120809,1398.8,1405.95,1402.26,1402.8
108105,20120810,1395.62,1405.98,1402.58,1405.87
108105,20120813,1397.32,1405.87,1405.87,1404.11
108105,20120814,1400.6,1410.03,1404.36,1403.93
108105,20120815,1401.83,1407.73,1403.89,1405.53
108105,20120816,1404.15,1417.44,1405.57,1415.51
108105,20120817,1414.67,1418.71,1415.84,1418.16
108105,20120820,1412.12,1418.13,1417.85,1418.13
108105,20120821,1410.86,1426.68,1418.13,1413.17
108105,20120822,1406.78,1416.12,1413.09,1413.49
108105,20120823,1400.5,1413.49,1413.49,1402.08
108105,20120824,1398.04,1413.46,1401.99,1411.13
108105,20120827,1409.11,1416.17,1411.13,1410.44
108105,20120828,1405.59,1413.63,1410.44,1409.3
108105,20120829,1406.57,1413.95,1409.32,1410.49
108105,20120830,1397.01,1410.08,1410.08,1399.48
108105,20120831,1398.96,1413.09,1400.07,1406.58
108105,20120904,1396.56,1409.31,1406.54,1404.94
108105,20120905,1401.25,1408.81,1404.94,1403.44
108105,20120906,1403.74,1432.12,1403.74,1432.12
108105,20120907,1431.45,1437.92,1432.12,1437.92
108105,20120910,1428.98,1438.74,1437.92,1429.08
108105,20120911,1429.13,1437.76,1429.13,1433.56
108105,20120912,1432.99,1439.15,1433.56,1436.56
108105,20120913,1435.34,1463.76,1436.56,1459.99
108105,20120914,1460.07,1474.51,1460.07,1465.77
108105,20120917,1457.55,1465.63,1465.42,1461.19
108105,20120918,1456.13,1461.47,1461.19,1459.32
108105,20120919,1457.88,1465.15,1459.5,1461.05
108105,20120920,1449.98,1461.23,1461.05,1460.26
108105,20120921,1459.51,1467.07,1460.34,1460.15
108105,20120924,1452.06,1460.72,1459.76,1456.89
108105,20120925,1441.59,1463.24,1456.94,1441.59
108105,20120926,1430.53,1441.6,1441.6,1433.32
108105,20120927,1433.36,1450.2,1433.36,1447.15
108105,20120928,1435.6,1447.13,1447.13,1440.67
108105,20121001,1440.9,1457.14,1440.9,1444.49
108105,20121002,1439.01,1451.52,1444.99,1445.75
108105,20121003,1441.99,1454.3,1446.05,1450.99
108105,20121004,1451.08,1463.14,1451.08,1461.4
108105,20121005,1456.89,1470.96,1461.4,1460.93
108105,20121008,1453.1,1460.93,1460.93,1455.88
108105,20121009,1441.18,1455.9,1455.9,1441.48
108105,20121010,1430.64,1442.52,1441.48,1432.56
108105,20121011,1432.82,1443.9,1432.82,1432.84
108105,20121012,1425.53,1438.43,1432.84,1428.59
108105,20121015,1427.24,1441.31,1428.75,1440.13
108105,20121016,1440.31,1455.51,1440.31,1454.92
108105,20121017,1453.35,1462.2,1454.22,1460.91
108105,20121018,1452.63,1464.02,1460.94,1457.34
108105,20121019,1429.85,1457.34,1457.34,1433.19
108105,20121022,1422.06,1435.46,1433.21,1433.82
108105,20121023,1407.56,1433.74,1433.74,1413.11
